ID,lat,lon
2733.03,40.63373,-74.01641517
2782.02,40.63593584,-74.01983481
2821.05,40.63589881,-74.0127161
2832.03,40.63713282,-74.02202989
2861.02,40.63908458,-74.00997913
2872.02,40.63766156,-74.01780652
2883.03,40.63831374,-74.02465311
2912.08,40.63821125,-74.01380881
2923.01,40.64014998,-74.01939517
2932.03,40.63962395,-74.02672222
2951.05,40.63962071,-74.00885722
2961.05,40.64094661,-74.01539083
2971.02,40.63998523,-74.02325612
3000.08,40.64122474,-74.01093557
3007.05,40.64212733,-73.98108647
3011.03,40.64155304,-74.01737547
3019.02,40.64069253,-74.02498239
3019.03,40.64271241,-74.02507766
3038.08,40.64277503,-74.00583309
3046.03,40.6438243,-73.97744946
3050.03,40.64241756,-74.01334705
3056.05,40.64388476,-73.98635256
3084.05,40.64283769,-74.00936118
3090.06,40.64304122,-73.9790798
3093.07,40.64289269,-74.01669922
3117.05,40.64540533,-74.00359515
3125.09,40.64480911,-73.9745238
3129.08,40.64393717,-74.01157714
3135.04,40.64435634,-73.984273
3138.09,40.64546824,-74.02110023
3161.02,40.64641143,-74.00557688
3166.03,40.64532375,-73.97960591
3169.07,40.64503999,-74.01442995
3178.02,40.64654352,-74.02278079
3192.05,40.64768114,-74.0007525
3199.01,40.64776546,-73.97372158
3202.06,40.64683341,-74.00916149
3208.07,40.64609915,-73.98088073
3211.06,40.64790879,-74.01855398
3220.01,40.64663628,-74.02590186
3230.01,40.64875159,-73.97051246
3233.06,40.64729239,-74.00441354
3240.15,40.64923605,-73.97679877
3243.02,40.649992,-74.01205642
3253.01,40.6495016,-74.0199575
3266.01,40.64876674,-73.99996749
3272.01,40.64904894,-73.97231061
3275.03,40.64923492,-74.00940717
3280.04,40.64842948,-73.97928725
3283.05,40.65068297,-74.01491503
3294.03,40.6500507,-73.96001045
3303.03,40.65014992,-73.96786615
3306.03,40.6503925,-74.00496756
3312.07,40.65176214,-73.97596829
3315.05,40.65119363,-74.01141503
3344.02,40.65181713,-73.97222248
3347.03,40.65151437,-74.00715344
3353.04,40.65087097,-73.97767955
3356.07,40.65230893,-74.01346598
3359.03,40.65374518,-73.94986279
3368.04,40.652967,-73.95630119
3376.02,40.65212193,-73.96527529
3376.04,40.65326853,-73.96645707
3379.03,40.65263221,-74.00238278
3382.04,40.6533,-73.93644
3385.06,40.65284039,-73.97253241
3388.02,40.65283176,-74.00889913
3394.03,40.65167382,-73.98123508
3400.04,40.65429039,-73.95307023
3420.01,40.6544746,-74.00400656
3426.02,40.65378432,-73.97623268
3428.04,40.65286379,-74.01292412
3439.03,40.65549367,-73.9564711
3448.02,40.65543562,-73.96211805
3451.01,40.6543902,-74.00104312
3454.01,40.65632864,-73.9364781
3457.03,40.65512829,-73.97326753
3460.01,40.6573972,-74.00856738
3460.02,40.65594996,-74.00660359
3460.04,40.6563254,-74.00963446
3460.05,40.65590568,-74.00990459
3463.01,40.65576934,-73.94318007
3472.03,40.65576821,-73.949935
3480.04,40.65592238,-73.95971257
3486.02,40.657083,-73.93128347
3492.04,40.65543541,-74.00289642
3495.08,40.65495816,-73.93764825
3498.09,40.65737127,-73.97418091
3504.02,40.65807395,-73.94740867
3507.04,40.65684713,-73.98372714
3512.03,40.65720657,-73.95345735
3515.01,40.65823646,-73.98959575
3520.01,40.65822516,-73.96061242
3523.06,40.65733119,-73.99815134
3526.06,40.65807363,-73.93417295
3532.02,40.65929973,-74.00632868
3535.02,40.65801609,-73.9396559
3538.09,40.6568037,-73.97736407
3544.02,40.65730075,-73.9500103
3547.04,40.65857503,-73.98550649
3552.09,40.65816819,-73.95665033
3555.04,40.65970733,-73.99490702
3564.04,40.65796241,-74.00102288
3567.05,40.66101775,-73.93640057
3579.04,40.6598219,-73.9801054
3585.06,40.65959416,-73.95052617
3588.01,40.65944344,-73.9884556
3593.01,40.66063174,-73.96043709
3593.1,40.66136549,-73.96096369
3596.04,40.66039152,-73.99849636
3599.01,40.66156981,-73.9316607
3608.06,40.66164172,-73.93977161
3611.02,40.66022419,-73.977478
3617.02,40.66119172,-73.94806146
3620.02,40.66135853,-73.98304929
3625.04,40.66069411,-73.95684941
3625.07,40.6615945,-73.95366454
3628.11,40.66045069,-73.99090104
3633.08,40.66059779,-73.96263016
3639.04,40.66196815,-73.93456277
3648.06,40.66077737,-73.94239782
